# Manifest des musiques pour Kevin Lust
# Format : nom_du_fichier.mp3|Label affiche dans l'addon
# Une ligne par morceau. Les lignes commencant par # sont ignorees.
# Les .mp3 doivent etre uploades dans ce meme repo (a la racine).
#
# Exemple :
# epic-track.mp3|Epic Track
Ave Maria.mp3|Ave Maria
Bad Boy.mp3|Bad Boy
Bois perdu.mp3|Bois perdu
Gonzalo.mp3|Gonzalo
Matadora.mp3|Matadora
Max.mp3|Max
Tashy.mp3|Tashy
Zakhelo.mp3|Zakhelo
SteelBall.mp3|Steel Ball
Allumez le feu.mp3|Allumez le feu
Dans le nord.mp3|Dans le nord
Je veux savoir.mp3|Je veux savoir
Gas Gas Gas.mp3|Gas Gas Gas
IS BIG.mp3|IS BIG
L Theme.mp3|L Theme
Levan Polkka.mp3|Levan Polkka
Monoco.mp3|Monoco
Running In The 90s.mp3|Running In The 90s
Les yeux d'Emilie.mp3|Les yeux d'Emilie
Powerwolf  - Resurrection By Erection (mp3cut.net).mp3|Resurrection By Erection
Samurai ( ching chong ).mp3|Samurai ( ching chong )
